LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT6,PAY_AMT6,default
290000,1,3,1,47,423,369,0
250000,2,1,1,34,160220,3920,0
60000,2,2,1,46,27756,1500,0
110000,2,1,2,27,77254,2800,0
370000,1,1,2,50,13453,4699,0
100000,1,2,1,27,-246,50000,0
90000,2,2,1,35,88290,0,0
50000,2,2,2,22,28806,567,0
270000,1,2,2,37,24641,2000,0
300000,2,1,2,30,800,746,0
50000,2,2,2,22,7725,10000,0
50000,2,1,2,24,-3272,0,1
360000,1,1,2,29,0,0,0
130000,1,3,1,56,71345,0,1
80000,1,1,2,30,5380,0,0
50000,1,2,2,30,22361,2000,0
20000,2,2,2,22,14906,1000,0
80000,2,2,1,29,11486,0,0
240000,1,1,2,37,1256,65935,0
80000,2,3,2,35,17460,2000,0
500000,2,1,1,47,70064,20000,0
60000,2,2,1,24,19395,2000,1
20000,1,2,2,25,1620,0,0
100000,2,2,1,38,16448,1500,1
360000,2,1,2,32,16240,38313,0
200000,2,3,2,47,189915,6836,1
130000,2,2,1,34,14636,2000,0
20000,2,2,2,31,20487,0,0
310000,1,1,2,32,43328,4223,0
60000,2,1,2,27,22873,846,1
180000,2,1,2,29,17042,5114,0
180000,2,1,2,24,0,0,0
50000,1,2,1,36,658,20011,0
50000,2,1,2,24,40035,0,1
150000,2,2,1,34,1500,0,0
20000,2,1,2,22,19247,1000,0
500000,2,1,1,34,1151,15816,0
30000,2,3,2,22,0,0,1
180000,2,1,1,38,0,0,0
140000,1,1,2,31,10833,2500,0
140000,2,1,2,26,487,7004,0
120000,1,2,2,26,122135,5000,0
360000,2,2,1,48,146511,4100,0
20000,1,3,1,43,19337,1700,0
100000,1,1,1,47,0,2380,0
210000,2,2,1,41,0,419,1
80000,2,2,2,24,49568,1800,1
330000,2,1,1,50,1709,258,0
220000,1,1,2,24,85632,0,0
210000,2,1,1,38,1222,9616,1
40000,2,3,1,43,31339,1000,0
30000,1,2,2,39,8032,148,0
470000,1,2,2,27,309959,10367,0
30000,1,3,1,42,780,0,0
240000,2,2,1,36,-946,0,1
80000,1,2,2,36,78245,3000,0
110000,2,3,0,31,63208,8954,0
310000,2,1,2,38,0,0,0
360000,2,1,1,40,120238,4700,1
330000,2,3,2,45,330121,11678,0
300000,2,2,2,35,212508,15000,0
320000,2,2,2,33,33263,3754,0
50000,2,3,2,37,29957,30592,1
170000,2,1,2,28,128839,4962,0
350000,1,3,1,44,0,0,0
20000,1,2,1,37,19175,782,0
50000,1,2,2,23,18858,1004,1
20000,2,3,2,24,0,3200,0
50000,2,1,2,24,1308,389,0
20000,1,2,2,23,10104,10000,1
50000,1,2,1,26,46557,2000,0
190000,1,2,2,34,150052,2769,1
60000,2,2,1,33,19421,599,0
80000,1,1,2,35,19942,2418,0
150000,2,2,2,27,29497,2529,0
210000,2,1,2,31,2293,3299,0
240000,2,3,1,50,214694,7714,1
140000,2,2,3,41,16383,2399,1
60000,2,1,2,28,2285,0,0
50000,1,1,2,39,15874,2000,0
50000,2,2,2,27,29399,1100,0
180000,2,1,2,32,0,176,0
30000,2,1,2,40,79,60,0
20000,2,2,2,40,0,0,0
250000,2,2,1,75,794,1184,0
100000,2,2,2,27,32904,0,0
330000,1,1,2,25,25358,2566,0
50000,1,3,1,46,17484,2000,0
50000,2,2,2,26,29998,3003,0
30000,1,2,2,28,0,0,0
140000,2,2,2,26,106828,3304,1
160000,2,1,2,28,84426,10000,0
400000,2,2,2,29,2486,862,0
50000,1,2,1,25,28538,886,0
140000,2,2,1,48,21361,1347,0
160000,2,2,1,33,2210,0,0
100000,2,3,1,43,0,0,0
220000,1,1,1,48,162402,5500,1
510000,2,1,2,29,36739,65000,0
50000,1,2,2,29,28309,6318,0
160000,2,1,1,38,12652,1916,0
230000,2,1,2,37,338,0,0
80000,2,1,2,37,16872,4000,0
150000,2,2,1,25,316,316,0
10000,1,3,2,23,9411,175,0
130000,2,3,2,49,27500,0,1
40000,2,1,2,48,35673,1500,0
50000,1,2,2,27,2614,1390,1
100000,1,3,2,32,18126,2015,0
120000,1,1,1,34,0,450,0
260000,2,1,2,58,0,0,1
200000,2,2,2,33,11905,3000,0
360000,2,2,2,28,0,0,1
70000,2,2,2,36,15085,2000,0
460000,1,1,1,40,22535,0,1
50000,2,1,2,26,316,316,0
50000,1,3,1,33,19703,697,0
250000,2,2,1,31,101299,4400,0
30000,2,1,2,27,0,0,0
270000,1,2,1,44,43414,31031,0
180000,2,3,2,30,70204,3211,0
100000,2,1,2,28,56265,3000,0
230000,2,3,1,32,98457,5000,0
210000,2,1,1,46,586,19777,0
210000,1,1,2,38,46549,2502,0
440000,2,2,1,46,97622,2701,0
100000,2,2,2,25,51365,1559,1
240000,2,2,1,46,4311,1000,0
280000,1,1,2,33,-339603,345293,1
50000,2,2,2,22,0,0,1
30000,1,2,1,43,2566,0,0
10000,1,2,2,27,10182,700,1
130000,1,1,2,29,0,1500,0
200000,1,1,2,31,133990,5300,0
120000,2,2,1,29,1820,2496,0
210000,2,2,1,36,131629,4700,0
280000,2,1,1,36,30771,2000,0
300000,1,1,2,34,203,0,1
100000,1,2,2,37,64513,2305,0
440000,2,1,2,36,0,0,0
50000,2,3,1,40,14458,1000,0
20000,2,1,2,25,12510,2000,1
200000,2,1,2,27,7414,2880,0
110000,2,2,2,26,400,0,0
500000,2,2,1,36,0,0,0
300000,2,2,1,27,0,0,0
30000,1,3,1,55,14514,1500,1
60000,2,1,2,27,11736,0,0
400000,2,2,1,38,2077,9085,0
180000,2,2,1,34,132845,5100,0
20000,1,1,2,40,14340,0,0
200000,2,3,1,49,59983,3000,1
100000,1,1,2,27,6441,200,0
60000,1,2,2,23,19346,616,1
110000,2,2,2,36,53652,2200,0
260000,2,3,1,53,485,459,0
50000,2,3,1,46,24883,654,0
180000,1,2,2,29,-2,0,0
110000,1,2,2,29,47969,2000,1
340000,2,1,2,27,103263,50000,0
50000,1,2,2,24,8085,1000,0
230000,2,2,1,28,6173,1000,1
360000,2,2,2,32,100738,10000,0
210000,1,2,2,43,37056,3000,0
220000,2,2,1,41,325,325,1
60000,2,2,1,34,30225,1291,1
340000,1,2,1,55,7416,77195,0
150000,1,1,1,40,109428,4200,0
200000,2,2,1,37,16893,2500,1
130000,2,2,2,40,12685,500,1
60000,2,1,2,28,31857,7000,0
400000,2,2,1,43,78388,0,0
20000,1,1,2,27,18868,376,0
190000,2,1,2,28,160361,5865,0
260000,2,1,2,30,159108,6000,0
140000,2,2,2,31,0,0,0
50000,2,2,1,31,29170,1047,1
120000,2,1,2,34,830,2037,0
240000,2,2,2,30,0,1883,0
50000,1,2,2,36,978,0,0
200000,2,1,2,29,24248,1000,0
180000,1,1,1,39,1005,1898,0
180000,2,1,2,26,106517,4028,0
160000,2,1,2,29,1654,13000,0
100000,2,2,2,26,3980,1525,0
50000,2,2,2,29,41145,2000,1
140000,2,2,2,31,142174,5000,0
30000,2,2,2,26,19844,1000,1
90000,1,1,2,26,23101,3000,0
200000,1,1,1,36,1386,10000,0
380000,1,1,2,30,0,0,1
80000,2,2,2,43,19414,882,0
50000,1,3,1,58,18856,638,0
180000,1,2,1,45,31127,1500,1
240000,2,2,2,26,103360,3520,0
380000,1,2,2,34,169121,4400,0
110000,2,4,2,24,84462,4000,0
260000,1,1,1,34,291,291,0
500000,2,2,2,23,419643,19000,1
320000,2,2,2,30,74610,2500,0
50000,1,2,2,32,25775,1590,0
110000,1,1,1,40,216,66,1
230000,2,1,2,35,613,520,0
330000,2,2,1,56,8676,384,0
50000,2,2,1,61,24774,1039,0
10000,1,2,2,24,2132,0,0
300000,1,1,1,40,0,0,0
20000,2,2,1,32,10985,616,1
180000,1,2,1,36,0,0,1
160000,1,1,2,30,21712,50000,0
90000,2,1,2,34,48767,2000,0
30000,1,3,3,54,25943,0,0
180000,1,1,1,46,178719,7000,0
30000,1,3,1,58,22437,1961,0
30000,1,2,1,43,24242,1000,0
140000,2,1,2,28,3745,4000,0
210000,1,1,2,30,49888,10000,0
50000,1,2,2,31,12487,5000,1
130000,2,2,2,29,75355,5750,0
50000,2,2,1,37,2415,400,1
140000,1,3,1,36,88450,3300,0
170000,2,2,2,28,5889,95,1
80000,1,2,2,25,0,6305,0
410000,2,5,1,42,240176,8300,0
80000,2,1,2,29,0,0,0
80000,1,3,1,73,75018,5100,1
150000,1,2,1,43,157759,5334,0
260000,1,1,1,30,291,651,1
350000,1,1,1,38,0,0,0
280000,2,2,1,39,33316,5000,1
310000,1,2,1,44,71620,2653,0
140000,2,2,2,29,21085,2000,0
360000,1,1,1,51,0,0,0
140000,2,1,2,27,142620,5600,0
100000,1,1,2,38,28947,0,0
50000,2,2,2,22,632,0,0
210000,2,2,1,30,74125,5000,0
120000,2,2,2,25,117167,4400,0
240000,1,1,2,29,184922,6100,0
60000,2,3,3,42,29064,2000,0
150000,1,1,2,41,822,472,1
30000,1,2,1,48,26179,2244,0
160000,2,1,2,29,153800,5654,1
200000,1,1,1,52,82150,396,0
120000,2,2,1,25,0,0,0
500000,1,1,1,37,303510,10526,0
320000,2,1,2,27,66541,11341,0
280000,1,1,2,31,167983,6288,0
60000,2,1,2,23,32965,1200,1
200000,2,1,1,38,-150,0,0
230000,2,1,1,32,3404,0,0
230000,2,2,2,27,5068,4641,1
480000,2,3,1,41,22593,2000,0
50000,2,3,1,35,0,640,0
200000,2,1,2,31,160,1103,0
50000,2,1,2,30,18990,1000,0
50000,1,2,1,48,19548,2500,0
260000,2,1,2,36,0,0,1
30000,1,1,2,24,29371,1800,0
440000,2,1,2,29,151936,6010,0
230000,2,2,2,38,0,2213,0
200000,1,2,1,38,105253,0,1
490000,2,2,1,30,190306,6000,0
80000,2,2,1,32,0,0,0
20000,2,3,2,49,16414,1000,1
170000,2,1,2,31,199,398,1
70000,1,1,2,27,29795,1000,0
210000,2,2,2,33,66167,3000,0
90000,2,2,2,25,77648,3100,0
390000,2,1,2,27,281826,7000,1
110000,2,1,2,29,53206,2500,0
580000,2,1,1,36,167964,5946,0
360000,1,3,1,55,0,0,0
270000,2,2,1,32,221413,0,1
60000,2,1,2,27,150,200,0
110000,1,3,1,37,60145,2300,0
50000,2,1,1,25,20859,704,0
80000,2,1,2,23,47110,1700,1
50000,1,2,2,23,12584,2400,0
100000,1,1,2,32,89522,3200,0
30000,2,1,2,26,2995,0,0
200000,2,1,2,27,124793,4400,0
240000,1,1,2,44,198857,7000,1
220000,1,2,2,34,15602,500,0
160000,2,1,2,28,83988,2500,0
180000,2,1,1,53,1599,0,0
200000,1,4,1,42,0,2102,0
140000,2,3,1,30,58880,5200,0
380000,1,1,1,51,0,0,1
600000,1,1,1,53,434715,20000,1
260000,1,2,2,37,131074,6000,0
200000,2,1,2,26,871,2015,0
80000,1,2,2,42,48443,1700,0
40000,1,2,2,39,5315,4987,0
130000,1,3,2,39,75820,6000,0
50000,1,1,2,32,0,0,0
230000,2,2,1,41,9130,6554,0
70000,1,2,1,48,6400,4590,1
180000,2,2,1,38,126219,5000,0
80000,2,2,1,36,7868,2198,0
290000,2,2,2,26,1448,4900,0
230000,2,1,2,28,96116,3000,0
170000,2,3,3,56,150,614,0
230000,1,1,1,59,191671,6945,1
220000,1,1,2,38,165300,7009,1
230000,1,2,2,32,19831,500,0
500000,1,2,1,38,51481,2132,0
90000,2,1,1,41,670,1362,0
390000,2,3,2,35,263018,9435,1
400000,2,2,2,41,155182,6012,0
180000,1,2,1,34,1382,2440,0
60000,1,3,1,38,35002,0,0
120000,2,2,1,32,5930,5120,0
60000,2,2,2,29,23159,420,0
50000,1,1,2,44,29638,1000,0
70000,2,2,1,37,50809,2700,0
500000,2,1,1,38,450,600,0
200000,1,1,2,31,0,0,0
250000,2,2,1,40,919,67619,0
140000,1,2,2,26,130271,5400,1
70000,2,2,2,28,4162,0,0
90000,1,3,1,48,59378,4086,0
100000,2,2,1,43,2562,2111,0
190000,1,2,1,31,117465,3517,0
230000,2,1,1,42,6992,0,0
320000,1,2,1,39,95323,938,0
220000,2,2,1,36,396,792,1
260000,2,1,1,34,2514,7725,0
90000,2,2,2,32,0,0,0
30000,2,2,1,43,19633,800,0
260000,1,2,2,30,69174,2003,0
170000,2,2,2,28,0,0,0
80000,2,1,1,28,10490,276,1
50000,1,1,1,41,320,1000,0
200000,2,3,2,47,198717,7100,0
20000,1,2,2,23,19664,104,0
250000,2,1,1,49,1639,0,0
20000,1,1,1,38,19933,850,0
30000,2,2,1,38,24576,1200,0
90000,2,2,1,35,30548,2000,0
230000,2,6,2,46,193351,7000,0
130000,2,1,1,33,0,0,1
30000,1,6,1,53,0,0,0
160000,1,1,2,35,1220,0,0
500000,2,2,2,43,200,528666,0
180000,2,2,2,28,34661,2000,0
80000,2,2,1,30,5515,500,0
120000,1,1,2,26,0,0,0
130000,1,2,1,31,390,780,0
120000,2,2,2,35,240,240,1
360000,1,1,2,28,50537,3219,0
50000,1,2,2,23,33081,1500,1
20000,2,2,2,23,13246,4,0
100000,1,3,1,56,80335,732,0
70000,1,3,1,32,71284,5500,0
50000,1,2,1,47,19439,500,0
10000,2,2,2,22,9984,1287,0
290000,2,1,1,34,115297,7000,0
30000,2,1,1,31,19818,1623,0
410000,2,2,2,27,61420,5350,0
360000,1,1,2,28,125557,167000,1
140000,2,2,1,42,66735,5000,1
210000,2,1,2,32,74827,3000,0
220000,2,2,2,27,2891,153504,0
20000,1,2,2,27,20241,300,0
620000,2,2,1,45,170894,6000,1
360000,1,1,2,26,2600,0,0
20000,2,2,2,21,0,0,0
50000,1,2,2,23,19575,1000,0
50000,1,2,3,30,18302,637,0
10000,1,2,2,46,6785,251,1
100000,2,3,1,50,62524,2500,1
50000,1,1,2,26,0,0,0
60000,1,2,2,25,6200,2435,0
440000,2,1,2,35,179221,5500,0
120000,1,2,1,44,46775,0,0
50000,2,1,2,52,0,0,0
110000,2,2,1,40,101213,3800,0
200000,2,1,2,38,270,317,0
150000,2,1,2,28,318,0,0
30000,2,2,1,36,28805,1500,1
100000,2,1,2,24,29427,330,0
360000,2,1,1,34,2142,4230,0
390000,2,1,2,31,51941,5000,0
220000,2,1,1,41,-200,0,1
160000,2,2,2,25,0,0,0
230000,2,1,2,28,20539,2000,0
120000,1,1,2,27,31214,3500,0
100000,1,3,1,52,7638,2000,1
190000,2,1,2,41,554,0,1
50000,1,1,1,56,29977,1017,1
240000,2,1,1,42,0,0,0
40000,2,2,2,24,37255,1751,0
630000,2,2,1,47,0,4981,0
160000,2,1,1,33,199,1145,0
110000,2,2,2,32,83206,3000,0
20000,1,2,2,29,0,0,0
210000,2,3,1,53,65163,0,0
270000,1,1,2,34,14923,1712,0
360000,2,2,2,52,-3,789,0
60000,2,2,1,42,3640,730,0
360000,1,2,2,38,66078,105700,0
390000,2,1,2,45,2698,3,0
250000,2,3,2,35,11082,13407,0
90000,2,1,2,24,23387,764,1
360000,1,1,2,28,6220,16071,0
50000,1,3,2,26,19567,683,0
270000,2,1,1,40,0,0,0
200000,2,1,2,29,0,125,0
50000,2,2,2,23,19013,1000,0
350000,1,1,2,33,4532,0,0
160000,2,2,2,60,1009,0,1
80000,2,3,1,49,7601,7990,0
290000,1,1,1,53,238266,8546,1
270000,2,1,2,28,48888,15000,0
80000,1,1,2,31,4085,0,0
50000,1,2,2,36,6980,1000,0
30000,1,2,1,35,0,0,0
30000,1,2,2,28,0,0,1
90000,1,2,2,33,38449,6537,0
160000,1,1,2,26,9528,6066,0
80000,2,3,2,53,54022,2000,0
50000,1,2,2,42,0,0,0
20000,2,1,2,25,17618,800,0
220000,1,1,1,43,0,0,1
210000,1,3,2,25,1990,7967,1
130000,2,2,2,29,47455,1365,0
260000,2,2,1,31,18659,38923,0
230000,2,1,1,30,51522,10000,0
160000,1,1,2,34,87526,3013,0
50000,1,1,1,35,9011,172,0
80000,1,2,1,32,38052,5002,0
110000,1,3,2,46,62213,2454,0
200000,1,1,1,43,134309,4902,0
360000,1,2,2,29,250244,7300,0
210000,2,3,2,31,0,0,0
80000,2,2,2,24,57264,2200,0
300000,2,2,1,36,65373,10780,1
310000,2,2,1,43,25514,807,0
30000,1,3,1,59,1320,0,1
170000,1,1,1,53,12930,361,0
140000,2,2,2,28,29930,3000,0
180000,2,2,2,31,0,1576,0
50000,1,1,2,34,24549,1030,0
50000,2,2,1,36,0,0,0
110000,2,1,2,24,33189,3000,0
450000,2,3,1,36,3000,3238,0
200000,2,2,1,34,390,390,0
220000,1,1,2,43,33150,0,0
360000,2,1,2,29,2650,0,1
50000,1,2,1,37,44573,2000,0
40000,1,2,2,23,29551,0,0
190000,2,2,1,37,125478,5000,0
150000,1,1,2,33,3323,8399,0
200000,2,1,1,37,0,2370,0
270000,2,2,1,56,101151,3900,0
60000,1,1,2,25,39140,2000,0
200000,2,2,1,39,70718,2620,0
150000,2,2,1,39,31561,2000,0
180000,2,2,2,28,610,460,0
90000,2,1,2,27,0,0,0
360000,2,2,1,37,541,4268,0
90000,2,1,2,24,0,0,0
20000,2,2,2,24,15829,1327,0
70000,1,1,1,46,49946,1800,0
230000,1,1,1,39,660,660,0
30000,1,3,1,48,29693,530,0
200000,2,3,3,45,9921,5016,0
100000,1,3,2,49,0,0,0
50000,2,2,2,23,33138,2000,0
20000,2,3,1,25,0,0,0
210000,2,2,1,47,0,0,0
110000,1,3,1,56,23468,4976,0
20000,2,3,1,44,0,0,0
50000,2,3,1,49,4756,0,0
50000,1,2,1,41,18805,618,0
400000,2,1,2,40,173599,7700,0
170000,1,2,2,31,51461,3000,0
280000,1,2,1,42,147911,5600,0
130000,2,3,1,28,0,0,0
210000,2,2,2,32,65576,5000,0
370000,1,2,2,28,51434,6000,0
30000,2,2,1,31,21251,0,0
150000,1,3,2,39,0,0,0
60000,1,3,1,31,0,0,1
80000,2,2,2,24,58390,2500,0
280000,2,2,1,44,195874,15000,1
20000,2,2,2,46,18148,0,0
270000,1,1,2,32,-200,0,0
240000,2,2,2,26,14497,500,0
20000,2,1,2,22,19547,1600,0
450000,2,1,1,42,0,0,1
10000,1,2,2,33,6857,1500,0
280000,1,2,1,39,3526,3519,1
290000,2,3,2,27,0,0,0
190000,2,1,2,28,34412,2000,1
80000,2,1,2,23,1460,0,0
280000,2,2,2,28,1047,1000,0
160000,2,1,1,33,7957,1905,0
90000,1,2,1,40,0,0,1
140000,2,1,2,37,510,0,0
50000,1,1,2,22,390,1170,0
40000,2,2,1,32,30456,0,0
130000,2,3,1,43,100124,3681,0
70000,2,3,1,27,59480,2258,0
30000,2,2,1,35,26918,2000,0
100000,2,3,1,35,101492,0,0
20000,2,1,1,30,7598,0,1
30000,2,2,2,34,36904,3095,0
20000,1,2,1,34,17113,1000,1
100000,2,1,2,28,79261,3000,1
30000,1,2,2,25,1800,0,1
320000,2,1,1,41,105859,3510,0
90000,1,3,2,42,28306,1300,1
190000,1,2,2,40,169928,7000,1
200000,1,1,2,28,156323,10000,0
300000,2,2,2,31,2508,4141,0
30000,2,1,2,56,7024,7024,0
110000,2,2,3,45,22158,2000,0
230000,2,1,2,29,0,0,0
230000,2,1,1,35,0,0,0
310000,2,2,2,28,57170,5000,0
320000,1,1,1,40,235837,8000,0
360000,1,1,1,47,4125,10007,0
20000,2,3,1,41,643,1000,1
170000,2,2,2,27,171863,6200,0
140000,1,1,1,40,136287,4767,0
80000,1,2,2,32,42527,1500,0
150000,1,2,2,35,2129,0,0
170000,1,2,2,27,0,0,0
200000,2,2,1,29,125021,5000,1
70000,1,1,2,30,59329,2500,0
320000,1,2,1,37,2967,5028,0
150000,2,1,2,29,0,0,0
50000,2,1,1,34,7570,1000,0
90000,2,2,2,34,0,0,0
280000,1,1,1,41,13969,4437,0
300000,2,1,2,31,561,500,0
400000,2,2,2,40,0,385,0
200000,2,1,1,27,8588,1304,0
10000,2,3,2,22,0,0,1
50000,2,2,3,30,37615,1600,1
30000,2,2,3,22,26357,2500,0
50000,1,1,2,26,19060,1000,1
50000,1,2,1,38,50616,2000,0
30000,2,3,1,46,14673,0,0
20000,1,2,2,24,1320,0,0
20000,1,2,2,49,10000,0,0
50000,1,1,3,49,18088,2000,0
30000,2,2,1,42,46254,2000,0
360000,2,1,1,30,0,0,0
170000,1,2,1,42,4750,0,0
400000,2,1,2,31,2174,0,0
50000,2,2,1,49,29645,1064,0
160000,2,2,2,27,87049,2500,0
70000,2,2,1,33,0,1651,1
150000,2,1,1,35,0,0,0
80000,2,2,2,48,27236,2000,0
30000,2,2,2,22,30520,0,0
10000,1,2,2,22,5033,2500,1
180000,2,1,2,27,3333,3333,0
320000,1,1,1,47,316,516,0
80000,2,2,2,34,31401,0,0
10000,1,2,1,45,10192,200,1
360000,2,2,2,39,998,9004,0
450000,1,2,2,33,113,2515,0
330000,2,2,2,29,49880,519,0
60000,1,1,2,29,1023,0,1
50000,2,3,2,26,7666,361,0
200000,1,2,1,38,168802,10000,0
120000,1,1,2,34,-18,0,0
160000,2,1,1,37,0,316,0
110000,1,2,1,57,30900,0,0
70000,2,3,1,50,18659,690,0
150000,2,3,2,28,96704,3050,0
610000,2,1,2,31,105965,2000,0
110000,2,1,2,25,84011,3202,0
80000,2,2,2,25,23718,2000,1
170000,2,2,1,33,84237,4500,0
110000,2,1,2,30,0,0,0
140000,2,1,1,51,55744,2132,0
70000,1,1,2,51,40150,5000,0
260000,2,2,1,46,12532,12151,0
170000,1,3,2,38,34434,5000,0
50000,2,2,1,34,16826,4000,0
300000,2,3,1,34,191069,5500,1
150000,2,1,2,31,780,0,1
50000,2,2,2,25,34365,3000,1
50000,2,2,1,26,5176,2000,0
90000,2,1,2,25,73568,0,0
50000,1,2,2,26,20041,649,1
500000,2,2,2,43,11590,1572,0
470000,2,2,1,36,2100,1014,0
230000,1,2,2,58,51083,0,0
140000,2,2,2,26,20047,1000,0
